name,threads,outer,inner,N,nnz,diarow_sd,diarow_mflops,diarow_sum,bdiarow_sd,bdiarow_mflops,bdiarow_sum,diannz_sd,diannz_mflops,diannz_sum,bdiannz_sd,bdiannz_mflops,bdiannz_sum
TSOPF_RS_b678_c2,5,30,25,35696,8781949,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b2383_c1,5,30,25,38120,16171169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b39_c19,5,30,25,76216,1977600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b162_c4,5,30,500,20374,812749,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b300_c3,5,30,25,42138,4413449,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b678_c1,5,30,25,18696,4396289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b300_c2,5,30,25,56814,8767466,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b300,5,30,25,29214,4400122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b162_c3,5,30,25,30798,1801300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b39_c19,5,30,500,38098,684206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b162_c1,5,30,500,5374,205399,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b2052_c1,5,30,25,25626,6761100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b9_c6,5,30,2500,7224,54082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b162_c4,5,30,25,40798,2398220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b300_c3,5,30,25,84414,13135930,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
twotone,5,30,25,120750,1206265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
onetone2,5,30,500,36057,222596,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
onetone1,5,30,500,36057,335552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pre2,5,30,25,659033,5834044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
m3plates,5,30,25000,11107,6639,1113.95139837,16708.8926174,8345,1605.98780972,14495.6331878,8345,2200.46186241,15157.5342466,8345,387.857557839,15344.375963,8345
k3plates,5,30,500,11107,378927,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
qa8fk,5,30,25,66127,1660579,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
qa8fm,5,30,25,66127,1660579,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
viscoplastic1,5,30,2500,4326,61166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
viscoplastic2,5,30,500,32769,381326,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-65,5,30,500,48066,360428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-37,5,30,2500,8204,74676,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-38,5,30,2500,8127,77689,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-53,5,30,500,30235,355139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-44,5,30,2500,10728,85000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-50,5,30,500,22401,180245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-25,5,30,5000,3797,49635,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-46,5,30,500,14913,130397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-45,5,30,500,13206,174452,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-18,5,30,5000,2169,15145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-35,5,30,2500,6537,62891,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-33,5,30,2500,6317,56123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-48,5,30,500,18354,166080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-56,5,30,500,35910,380240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-42,5,30,500,10471,110285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-21,5,30,5000,3509,32145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-27,5,30,5000,4563,30927,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-26,5,30,5000,4307,34537,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-20,5,30,5000,2921,20445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-24,5,30,5000,4119,35699,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-31,5,30,2500,5339,78571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-67,5,30,500,57975,530229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-40,5,30,2500,9941,81501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-36,5,30,2500,7479,65941,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-28,5,30,5000,4598,30590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-47,5,30,500,15343,211401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-64b,5,30,500,51035,707601,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-39,5,30,500,9271,116587,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-54,5,30,500,31793,385987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-51,5,30,500,23196,203048,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-22,5,30,5000,3792,28870,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-34,5,30,2500,6611,64333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-23,5,30,5000,3969,31079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-64,5,30,500,51035,707985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-66,5,30,500,49989,444853,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-52,5,30,500,23948,202708,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-73b,5,30,25,169422,1279274,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-big,5,30,25,345241,2340859,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-49,5,30,500,21132,157040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-62,5,30,500,41731,559341,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-43,5,30,500,11125,123659,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-73,5,30,25,169422,1279274,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-61,5,30,500,43618,310016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-32,5,30,2500,5975,54471,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-57,5,30,500,37833,403373,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-29,5,30,5000,5033,43731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-30,5,30,2500,5321,65693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-41,5,30,500,9769,101635,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-66b,5,30,500,49989,444851,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-67b,5,30,500,57975,530583,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-19,5,30,5000,2327,21817,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c-60,5,30,500,43640,298570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hvdc1,5,30,500,24842,158426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hvdc2,5,30,25,189860,1339638,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tmt_unsym,5,30,25,917825,4584801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
t2em,5,30,25,921632,4590832,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tmt_sym,5,30,25,726713,5080961,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_south31_slptsk,5,30,500,39668,379828,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_bump2_e18_aa01_model1_crew1,5,30,500,56438,601602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ks2010,5,30,25,238600,1121798,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
333SP,5,30,25,3712815,22217266,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fe_tooth,5,30,500,78136,905182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
uk,5,30,5000,4824,13674,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fe_rotor,5,30,25,99617,1324862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hi2010,5,30,500,25016,124126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delaunay_n20,5,30,25,1048576,6291372,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
citationCiteseer,5,30,25,268495,2313294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_c-30_data_data,5,30,500,11023,124368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delaunay_n23,5,30,25,8388608,50331568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
m14b,5,30,25,214765,3358036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
data,5,30,5000,2851,30186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fe_ocean,5,30,500,143437,819186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_model1_crew1_cr42_south31,5,30,500,45101,379952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
coAuthorsCiteseer,5,30,25,227320,1628268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rgg_n_2_15_s0,5,30,500,32768,320480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_data_and_seymourl,5,30,500,9167,111732,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
luxembourg_osm,5,30,500,114599,239332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
kron_g500-logn18,5,30,25,262144,21165908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wi2010,5,30,25,253096,1209404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
italy_osm,5,30,25,6686493,14027956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hugetrace-00010,5,30,25,12057441,36164358,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
packing-500x100x100-b050,5,30,25,2145852,34976486,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
me2010,5,30,500,69518,335476,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_p0291_seymourl_iiasa,5,30,500,10498,107736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sc2010,5,30,500,181908,893160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
598a,5,30,25,110971,1483868,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_msc10848_300sep_100in_1Kout,5,30,25,21996,2442056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delaunay_n14,5,30,2500,16384,98244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
road_central,5,30,25,14081816,33866826,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nm2010,5,30,500,168609,830970,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hugetric-00010,5,30,25,6592765,19771708,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
coAuthorsDBLP,5,30,25,299067,1955352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fe_body,5,30,500,45087,327468,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
venturiLevel3,5,30,25,4026819,16108474,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_finan512_scagr7-2c_rlfddd,5,30,25,139752,1104040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mt2010,5,30,500,132288,638668,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pa2010,5,30,25,421545,2058462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rgg_n_2_18_s0,5,30,25,262144,3094566,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_mod2_pgp2_slptsk,5,30,500,101364,778736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ma2010,5,30,500,157508,776610,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ak2010,5,30,500,45292,217098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fe_sphere,5,30,2500,16386,98304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rgg_n_2_20_s0,5,30,25,1048576,13783240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wv2010,5,30,500,135218,662922,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hugetrace-00000,5,30,25,4588484,13758266,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
az2010,5,30,25,241666,1196094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delaunay_n16,5,30,500,65536,393150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
id2010,5,30,500,149842,728264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delaunay_n12,5,30,5000,4096,24528,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_barth5_1Ksep_50in_5Kout,5,30,500,32212,203610,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
belgium_osm,5,30,25,1441295,3099940,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delaunay_n19,5,30,25,524288,3145646,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delaunay_n11,5,30,5000,2048,12254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
preferentialAttachment,5,30,500,100000,999970,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
M6,5,30,25,3501776,21003872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rgg_n_2_19_s0,5,30,25,524288,6539532,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
oh2010,5,30,25,365344,1768240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mn2010,5,30,25,259777,1227102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
al2010,5,30,25,252266,1230482,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
in2010,5,30,25,267071,1281716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_vibrobox_scagr7-2c_rlfddd,5,30,500,77328,871172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delaunay_n13,5,30,5000,8192,49094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AS365,5,30,25,3799275,22736152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
kron_g500-logn17,5,30,25,131072,10228360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
il2010,5,30,25,451554,2164464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delaunay_n18,5,30,25,262144,1572792,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
t60k,5,30,500,60005,178880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
G_n_pin_pout,5,30,25,100000,1002396,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
netherlands_osm,5,30,25,2216688,4882476,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
germany_osm,5,30,25,11548845,24738362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
or2010,5,30,500,196621,979512,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
144,5,30,25,144649,2148786,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hugetrace-00020,5,30,25,16002413,47997626,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NACA0015,5,30,25,1039183,6229636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wa2010,5,30,500,195574,947432,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delaunay_n22,5,30,25,4194304,25165738,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tx2010,5,30,25,914231,4456272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
md2010,5,30,500,145247,700378,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ga2010,5,30,25,291086,1418056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ut2010,5,30,500,115406,572066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ri2010,5,30,500,25181,125750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fl2010,5,30,25,484481,2346294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hugetric-00020,5,30,25,7122792,21361554,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rgg_n_2_21_s0,5,30,25,2097152,28975990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ar2010,5,30,500,186211,904310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nd2010,5,30,500,133769,625946,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sd2010,5,30,500,88360,410722,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
la2010,5,30,500,204447,980634,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rgg_n_2_16_s0,5,30,500,65536,684254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fe_4elt2,5,30,2500,11143,65636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ca2010,5,30,25,710145,3489366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_c-60_data_cti_cs4,5,30,500,85830,482160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NLR,5,30,25,4163763,24975952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delaunay_n21,5,30,25,2097152,12582816,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hugetric-00000,5,30,25,5824554,17467046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
va2010,5,30,25,285762,1402128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
de2010,5,30,500,24115,116056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_sctap1-2b_and_seymourl,5,30,500,40174,281662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vt2010,5,30,500,32580,155598,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
tn2010,5,30,25,240116,1193966,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
caidaRouterLevel,5,30,25,192244,1218132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ne2010,5,30,500,193352,913854,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
smallworld,5,30,500,100000,999996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ky2010,5,30,500,161672,787778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ct2010,5,30,500,67578,336352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
kron_g500-logn16,5,30,25,65536,4912469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wy2010,5,30,500,86204,427586,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nh2010,5,30,500,48837,234550,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
co2010,5,30,500,201062,974574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rgg_n_2_17_s0,5,30,25,131072,1457506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ok2010,5,30,25,269118,1274148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mi2010,5,30,25,329885,1578090,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cs4,5,30,2500,22499,87716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
coPapersCiteseer,5,30,25,434102,32073440,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delaunay_n15,5,30,500,32768,196548,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_befref_fxm_2_4_air02,5,30,500,14109,196448,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ny2010,5,30,25,350169,1709544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nc2010,5,30,25,288987,1416620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nj2010,5,30,500,169588,829912,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nv2010,5,30,500,84538,416998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
kron_g500-logn19,5,30,25,524288,43562265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cti,5,30,2500,16840,96464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
delaunay_n10,5,30,25000,1024,6112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
great-britain_osm,5,30,25,7733822,16313034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mo2010,5,30,25,343565,1656568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
auto,5,30,25,448695,6629222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vsp_bcsstk30_500sep_10in_1Kout,5,30,25,58348,4033156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
chesapeake,5,30,250000,39,340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wing,5,30,500,62032,243088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hugebubbles-00000,5,30,25,18318143,54940162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
coPapersDBLP,5,30,25,540486,30491458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
